Genus,CollectionPeriod,Frequency
Alcaligenes,12,0.03
Aerococcus,1,0.022
Aerococcus,2,0.138
Aerococcus,3,0.14
Aerococcus,4,0.163
Aerococcus,5,0.184
Aerococcus,6,0.244
Aerococcus,7,0.134
Aerococcus,8,0.088
Aerococcus,9,0.201
Aerococcus,10,0.075
Aerococcus,11,0.115
Aerococcus,12,0.029
Acinetobacter,1,0.016
Acinetobacter,2,0.241
Acinetobacter,3,0.211
Acinetobacter,4,0.177
Acinetobacter,5,0.108
Acinetobacter,6,0.052
Acinetobacter,7,0.048
Acinetobacter,8,0.07
Acinetobacter,9,0.142
Acinetobacter,10,0.182
Acinetobacter,11,0.168
Acinetobacter,12,0.077
